ref,domain,ar,tgt,tgt_lang,license
hadith:muslim:5158,hadith,"وحدثني ابو بكر بن اسحاق، حدثنا عفان بن مسلم، حدثنا ابان العطار، حدثنا يحيى بن ابي كثير، حدثني عبد الله بن ابي قتادة، عن ابيه، ان نبي الله صلى الله عليه وسلم نهى عن خليط التمر والبسر وعن خليط الزبيب والتمر وعن خليط الزهو والرطب وقال ‏ ""‏ انتبذوا كل واحد على حدته ‏""‏ ‏.‏","Abdullah b. Abu Qatada, on the authority of his father, reported Allah's Apostle (ﷺ) forbidding the preparation of the mixture of ripe dates and unripe dates, and the mixture of grapes and dates, and that of nearly ripe dates and fresh dates but the Prophet said:Prepare the Nabidh from each one of them separately",en,"Unlicense (aggregator); translator=Abdul Hamid Siddiqui; original translator copyright not independently confirmed, see PLAN.md"
hadith:muslim:4955,hadith,"حدثنا منصور بن ابي مزاحم، حدثنا يحيى بن حمزة، عن عبد الرحمن بن يزيد، بن جابر ان عمير بن هانئ، حدثه قال سمعت معاوية، على المنبر يقول سمعت رسول الله صلى الله عليه وسلم يقول ‏ ""‏ لا تزال طائفة من امتي قائمة بامر الله لا يضرهم من خذلهم او خالفهم حتى ياتي امر الله وهم ظاهرون على الناس ‏""‏ ‏.‏","It his been narrated on the authority of Umair b. Umm Hani who said:I heard Mu'awiya say (while delivering a sermon from the pulpit) that he heard the Messenger of Allah (ﷺ) say: A group of people from my Umma will continue to obey Allah's Command, and those who desert or oppose them shall not be able to do them any harm. They will be dominating the peeple until Allah's Command is executed (i. e. Resurrection is established)",en,"Unlicense (aggregator); translator=Abdul Hamid Siddiqui; original translator copyright not independently confirmed, see PLAN.md"
hadith:abudawud:2752,hadith,حدثنا هارون بن عبد الله، حدثنا هاشم بن القاسم، حدثنا عكرمة، حدثني اياس بن سلمة، عن ابيه، قال اغار عبد الرحمن بن عيينة على ابل رسول الله صلى الله عليه وسلم فقتل راعيها وخرج يطردها هو واناس معه في خيل فجعلت وجهي قبل المدينة ثم ناديت ثلاث مرات يا صباحاه ‏.‏ ثم اتبعت القوم فجعلت ارمي واعقرهم فاذا رجع الى فارس جلست في اصل شجرة حتى ما خلق الله شيئا من ظهر النبي صلى الله عليه وسلم الا جعلته وراء ظهري وحتى القوا اكثر من ثلاثين رمحا وثلاثين بردة يستخفون منها ثم اتاهم عيينة مددا فقال ليقم اليه نفر منكم ‏.‏ فقام الى اربعة منهم فصعدوا الجبل فلما اسمعتهم قلت اتعرفوني قالوا ومن انت قلت انا ابن الاكوع والذي كرم وجه محمد صلى الله عليه وسلم لا يطلبني رجل منكم فيدركني ولا اطلبه فيفوتني ‏.‏ فما برحت حتى نظرت الى فوارس رسول الله صلى الله عليه وسلم يتخللون الشجر اولهم الاخرم الاسدي فيلحق بعبد الرحمن بن عيينة ويعطف عليه عبد الرحمن فاختلفا طعنتين فعقر الاخرم عبد الرحمن وطعنه عبد الرحمن فقتله فتحول عبد الرحمن على فرس الاخرم فيلحق ابو قتادة بعبد الرحمن فاختلفا طعنتين فعقر بابي قتادة وقتله ابو قتادة فتحول ابو قتادة على فرس الاخرم ثم جئت الى رسول الله صلى الله عليه وسلم وهو على الماء الذي جليتهم عنه ذو قرد فاذا نبي الله صلى الله عليه وسلم في خمسمائة فاعطاني سهم الفارس والراجل ‏.‏,"Salamah (bin Al ‘Akwa) said “Abd Al rahman bin ‘Uyainah raided the Camels of the Apostle of Allaah(ﷺ) and killed their herdsman. He and some people who were with him on horses proceeded on driving them away. I turned my face towards Madeenah and shouted three times. A morning raid, I then went after the people shooting arrows at them and hamstringing them (their beasts). When a horseman returned to me, I sat in the foot of a tree till there was no riding beast of the Prophet (ﷺ) created by Allaah which I had not kept behind my back. They threw away more than thirty lance and thirty cloaks to lighten themselves. Then ‘Uyainah came to them with reinforcement and said “A few of you should go to him. Four of them stood and came to me. They ascended a mountain. Then they came near me till they could hear my voice. I told them “Do you know me?” They said “Who are you? I replied “I am Ibn Al ‘Akwa. By Him Who honored the face of Muhammad (ﷺ) if any man of you pursues he cannot catch me and if I pursue him, I will not miss him. This went on with me till I saw the horsemen of the Apostle of Allaah(ﷺ) coming through the trees. Al Akhram Al Asadi was at their head. He then joined ‘Abd Al Rahman bin ‘Uyainah and ‘Abd Al Rahman turned over him. They attacked each other with lances. Al Akhram hamstrung ‘Abd Al Rahman’s horse and ‘Abd Al Rahman pierced a lance in his body and killed him. ‘Abd al Rahman then returned on the horse of Al Akhram. I then came to the Apostle of Allaah(ﷺ) who was present at the same water from where I drove them away and which is known as Dhu Qarad. The Prophet (ﷺ) was among five hundred people. He then gave me two portions a horseman’s and a footman’s",en,"Unlicense (aggregator); translator=Unknown; original translator copyright not independently confirmed, see PLAN.md"
hadith:ibnmajah:3720,hadith,"حدثنا علي بن محمد، حدثنا وكيع، عن شعبة، عن ابي التياح، قال سمعت انس بن مالك، يقول كان رسول الله  صلى الله عليه وسلم  يخالطنا حتى يقول لاخ لي صغير ‏ ""‏ يا ابا عمير ما فعل النغير ‏""‏ ‏.‏ قال وكيع يعني طيرا كان يلعب به ‏.‏","It was narrated that Abu Taiyah said:""I heard Anas Bin Malik say: The Messenger of Allah (ﷺ) used to mix with us so much that he said to a little brother of mine: ""O Abu `Umair, what happened to the Nughair (one of the narrators Waki` said that it means a bird that he used to play with)",en,"Unlicense (aggregator); translator=Unknown; original translator copyright not independently confirmed, see PLAN.md"
hadith:muslim:5598,hadith,"حدثنا ابو بكر بن ابي شيبة، ومحمد بن عبد الله بن نمير، وابو سعيد الاشج ومحمد بن المثنى العنزي - واللفظ لابن نمير - قالوا حدثنا ابن ادريس، عن ابيه، عن سماك بن حرب، عن علقمة بن وائل، عن المغيرة بن شعبة، قال لما قدمت نجران سالوني فقالوا انكم تقرءون يا اخت هارون وموسى قبل عيسى بكذا وكذا ‏.‏ فلما قدمت على رسول الله صلى الله عليه وسلم سالته عن ذلك فقال ‏ ""‏ انهم كانوا يسمون بانبيائهم والصالحين قبلهم ‏""‏ ‏.‏","Mughira b. Shu'ba reported:When I came to Najran, they (the Christians of Najran) asked me: You read"" O sister of Harun"" (i. e. Hadrat Maryam) in the Qur'an, whereas Moses was born much before Jesus. When I came back to Allah's Messenger (ﷺ) I asked him about that, whereupon he said: The (people of the old age) used to give names (to their persons) after the names of Apostles and pious persons who had gone before them",en,"Unlicense (aggregator); translator=Abdul Hamid Siddiqui; original translator copyright not independently confirmed, see PLAN.md"
hadith:abudawud:1613,hadith,حدثنا مسدد، ان يحيى بن سعيد، وبشر بن المفضل، حدثاهم عن عبيد الله، ح وحدثنا موسى بن اسماعيل، حدثنا ابان، عن عبيد الله، عن نافع، عن عبد الله، عن النبي صلى الله عليه وسلم انه فرض صدقة الفطر صاعا من شعير او تمر على الصغير والكبير والحر والمملوك زاد موسى والذكر والانثى ‏.‏ قال ابو داود قال فيه ايوب وعبد الله - يعني العمري - في حديثهما عن نافع ذكر او انثى ‏.‏ ايضا ‏.‏,"Ibn ‘Umar said :The Messenger of Allah(ﷺ) prescribed sadaqah at the end of Ramadan one sa’ of barley and dried dates, payable by young and old freeman and slave. The version of Musa adds : “ male and female”. Abu Dawud said : the words “male and female” narrated, by Ayyub and ‘Abd Allah al Umar were narrated in their version on the authority of Nafi’",en,"Unlicense (aggregator); translator=Unknown; original translator copyright not independently confirmed, see PLAN.md"
hadith:malik:67,hadith,حدثني يحيى، عن مالك، عن نافع، ان عبد الله بن عمر، كان ياخذ الماء باصبعيه لاذنيه ‏.‏,Yahya related to me from Malik from Nafi that Abdullah ibn Umar used two fingers to take water to his ears,en,"Unlicense (aggregator); translator=Unknown; original translator copyright not independently confirmed, see PLAN.md"
hadith:nasai:2775,hadith,اخبرنا قتيبة، قال حدثنا الليث، عن ابن شهاب، عن عروة، وعمرة بنت عبد الرحمن، عن عائشة، انها قالت كان رسول الله صلى الله عليه وسلم يهدي من المدينة فافتل قلائد هديه ثم لا يجتنب شيئا مما يجتنبه المحرم ‏.‏,"It was narrated that Aishah said:""The Messenger of Allah used to send the Hadi from Al-Madinah, and I would twist the garlands for his Hadi, then he did not avoid anything that the person in Ihram avoids",en,"Unlicense (aggregator); translator=Unknown; original translator copyright not independently confirmed, see PLAN.md"
hadith:abudawud:1591,hadith,"حدثنا قتيبة بن سعيد، حدثنا ابن ابي عدي، عن ابن اسحاق، عن عمرو بن شعيب، عن ابيه، عن جده، عن النبي صلى الله عليه وسلم قال ‏ ""‏ لا جلب ولا جنب ولا تؤخذ صدقاتهم الا في دورهم ‏""‏ ‏.‏","Amr bin Shu'aib, on his father's authority, said that his grandfather reported the Prophet (ﷺ) as saying:There is to be no collecting of sadaqah (zakat) from a distance, nor must people who own property remove it far away, and their sadaqahs are to be received in their dwelling",en,"Unlicense (aggregator); translator=Unknown; original translator copyright not independently confirmed, see PLAN.md"
hadith:nasai:5371,hadith,"اخبرنا محمد بن معمر، قال حدثنا محمد بن عمر بن ابي الوزير ابو مطرف، قال حدثنا محمد بن موسى، عن عبد الله بن ابي طلحة، عن انس بن مالك، ان النبي صلى الله عليه وسلم اضطجع على نطع فعرق فقامت ام سليم الى عرقه فنشفته فجعلته في قارورة فراها النبي صلى الله عليه وسلم قال ‏ ""‏ ما هذا الذي تصنعين يا ام سليم ‏""‏ ‏.‏ قالت اجعل عرقك في طيبي فضحك النبي صلى الله عليه وسلم ‏.‏","It was narrated from Anas bin Malik that:The Prophet [SAW] lay down on a leather mat and sweated. Umm Sulaim got up and collected his sweat and put it in a bottle. The Prophet [SAW] saw her and said: ""What are you doing O Umm Sulaim?"" She said: ""I am putting your sweat in my perfume."" And the Prophet [SAW] smiled",en,"Unlicense (aggregator); translator=Unknown; original translator copyright not independently confirmed, see PLAN.md"
hadith:muslim:6814,hadith,"حدثنا زهير بن حرب، حدثنا اسماعيل، - يعني ابن علية - عن عبد العزيز، عن انس، قال قال رسول الله صلى الله عليه وسلم ‏ ""‏ لا يتمنين احدكم الموت لضر نزل به فان كان لا بد متمنيا فليقل اللهم احيني ما كانت الحياة خيرا لي وتوفني اذا كانت الوفاة خيرا لي ‏""‏ ‏.‏","Anas (b. Malik) reported Allah's Messenger (ﷺ) as saying. None of you should make a request for death because of the trouble in which he is involved, but if there is no other help to it, then say:O Allah, keep me alive as long as there is goodness in life for me and bring death to me when there is goodness in death for me",en,"Unlicense (aggregator); translator=Abdul Hamid Siddiqui; original translator copyright not independently confirmed, see PLAN.md"
hadith:nasai:1767,hadith,اخبرنا اسحاق بن منصور، قال انبانا يحيى، قال حدثنا الاوزاعي، قال حدثني يحيى، عن نافع، عن ابن عمر، عن حفصة، قالت كان رسول الله صلى الله عليه وسلم يركع بين النداء والصلاة ركعتين خفيفتين ‏.‏,"It was narrated from Ibn 'Umar that Hafsah said:""The Messenger of Allah (ﷺ) used to pray two brief rak'ahs between the call (the Adhan) and the prayer",en,"Unlicense (aggregator); translator=Unknown; original translator copyright not independently confirmed, see PLAN.md"
hadith:ibnmajah:559,hadith,حدثنا علي بن محمد، حدثنا وكيع، حدثنا سفيان، عن ابي قيس الاودي، عن الهزيل بن شرحبيل، عن المغيرة بن شعبة، ان رسول الله  صلى الله عليه وسلم  توضا ومسح على الجوربين والنعلين ‏.‏,It was narrated from Mughirah bin Shu'bah that:The Messenger of Allah performed ablution and wiped over his socks and his sandals,en,"Unlicense (aggregator); translator=Unknown; original translator copyright not independently confirmed, see PLAN.md"
hadith:muslim:4364,hadith,وحدثني اسحاق بن منصور، اخبرنا محمد بن بكر، اخبرنا ابن جريج، اخبرني معمر، عن ايوب، بهذا الاسناد مثله ‏.‏,This hadith has been narrated on the authority of Ayyub with the same chain of transmitters,en,"Unlicense (aggregator); translator=Abdul Hamid Siddiqui; original translator copyright not independently confirmed, see PLAN.md"
hadith:abudawud:3571,hadith,"حدثنا نصر بن علي، اخبرنا فضيل بن سليمان، حدثنا عمرو بن ابي عمرو، عن سعيد المقبري، عن ابي هريرة، ان رسول الله صلى الله عليه وسلم قال ‏ ""‏ من ولي القضاء فقد ذبح بغير سكين ‏""‏ ‏.‏",Narrated Abu Hurayrah: The Prophet (ﷺ) said: He who has been appointed a judge has been killed without a knife,en,"Unlicense (aggregator); translator=Unknown; original translator copyright not independently confirmed, see PLAN.md"
hadith:tirmidhi:503,hadith,حدثنا احمد بن منيع، حدثنا سريج بن النعمان، حدثنا فليح بن سليمان، عن عثمان بن عبد الرحمن التيمي، عن انس بن مالك، ان النبي صلى الله عليه وسلم كان يصلي الجمعة حين تميل الشمس ‏.‏,"Anas bin Malik narrated:""The Prophet would pray the Friday prayer when the sun was declining",en,"Unlicense (aggregator); translator=Unknown; original translator copyright not independently confirmed, see PLAN.md"
hadith:bukhari:7386,hadith,"حدثنا سليمان بن حرب، حدثنا حماد بن زيد، عن ايوب، عن ابي عثمان، عن ابي موسى، قال كنا مع النبي صلى الله عليه وسلم في سفر فكنا اذا علونا كبرنا فقال ‏""‏ اربعوا على انفسكم، فانكم لا تدعون اصم ولا غائبا، تدعون سميعا بصيرا قريبا ‏""‏‏.‏ ثم اتى على وانا اقول في نفسي لا حول ولا قوة الا بالله‏.‏ فقال لي ‏""‏ يا عبد الله بن قيس قل لا حول ولا قوة الا بالله‏.‏ فانها كنز من كنوز الجنة ‏""‏‏.‏ او قال الا ادلك به‏.‏","Narrated Abu Musa:We were with the Prophet (ﷺ) on a journey, and whenever we ascended a high place, we used to say, ""Allahu Akbar."" The Prophet (ﷺ) said, ""Don't trouble yourselves too much! You are not calling a deaf or an absent person, but you are calling One Who Hears, Sees, and is very near."" Then he came to me while I was saying in my heart, ""La hawla wala quwwatta illa billah (There is neither might nor power but with Allah)."" He said, to me, ""O `Abdullah bin Qais! Say, 'La hawla wala quwwata illa billah (There is neither might nor power but with Allah), for it is one of the treasures of Paradise."" Or said, ""Shall I tell you of it?",en,"Unlicense (aggregator); translator=Muhsin Khan; original translator copyright not independently confirmed, see PLAN.md"
hadith:muslim:6732,hadith,حدثنا ابو بكر بن ابي شيبة، وهناد بن السري، قالا حدثنا ابو الاحوص، عن منصور، بهذا الاسناد في معناه وقال فاخذ عودا ‏.‏ ولم يقل مخصرة ‏.‏ وقال ابن ابي شيبة في حديثه عن ابي الاحوص ثم قرا رسول الله صلى الله عليه وسلم ‏.‏,This hadith has been narrated on the authority of Mansur with the same chain of transmitters but with a slight variation of wording,en,"Unlicense (aggregator); translator=Abdul Hamid Siddiqui; original translator copyright not independently confirmed, see PLAN.md"
hadith:nasai:5638,hadith,اخبرنا سويد، قال انبانا عبد الله، عن القاسم بن الفضل، قال حدثنا ثمامة بن حزن القشيري، قال لقيت عائشة فسالتها عن النبيذ، فقالت قدم وفد عبد القيس على رسول الله صلى الله عليه وسلم فسالوه فيما ينبذون فنهى النبي صلى الله عليه وسلم ان ينبذوا في الدباء والنقير والمقير والحنتم ‏.‏,"Thumamah bin Hazn Al-Qushairi said:""I met 'Aishah and asked her about Nabidh. She said: 'The delegation of 'Abdul-Qais came to the Messenger of Allah [SAW] and asked him in which vessels they should soak (fruits - to make Nabidh). The Prophet [SAW] forbade them to soak (fruits) in Ad-Dubba' (gourds), An-Naqir, Al-Muqayyar, and Al-Hantam",en,"Unlicense (aggregator); translator=Unknown; original translator copyright not independently confirmed, see PLAN.md"
hadith:tirmidhi:2195,hadith,"حدثنا قتيبة، حدثنا عبد العزيز بن محمد، عن العلاء بن عبد الرحمن، عن ابيه، عن ابي هريرة، ان رسول الله صلى الله عليه وسلم قال ‏ ""‏ بادروا بالاعمال فتنا كقطع الليل المظلم يصبح الرجل مؤمنا ويمسي كافرا ويمسي مؤمنا ويصبح كافرا يبيع احدهم دينه بعرض من الدنيا ‏""‏ ‏.‏ قال ابو عيسى هذا حديث حسن صحيح ‏.‏","Abu Hurairah narrated that the Messenger of Allah(s.a.w) said:""Rush to do good deeds. A Fitnah will occur that is like a portion of the dark night, morning will come upon a man as a believer, who will be a disbeliever in the evening, and evening will come upon a believer, who will be a disbeliever in the morning. One of them will sell his religion for goods of the world",en,"Unlicense (aggregator); translator=Unknown; original translator copyright not independently confirmed, see PLAN.md"
hadith:ibnmajah:3276,hadith,"حدثنا هشام بن عمار، حدثنا ابو حفص، عمر بن الدرفس حدثني عبد الرحمن بن ابي قسيمة، عن واثلة بن الاسقع الليثي، قال اخذ رسول الله  صلى الله عليه وسلم  براس الثريد فقال ‏ ""‏ كلوا بسم الله من حواليها واعفوا راسها فان البركة تاتيها من فوقها ‏""‏ ‏.‏","It was narrated that Wathilah bin Asqa’ Al-Laithi said:“The Messenger of Allah (ﷺ) took hold of the top of the Tharid and said: ‘Eat in the Name of Allah from its sides and leave the top, for the blessing comes from its top.’”",en,"Unlicense (aggregator); translator=Unknown; original translator copyright not independently confirmed, see PLAN.md"
hadith:abudawud:2180,hadith,حدثنا قتيبة بن سعيد، حدثنا الليث، عن نافع، ان ابن عمر، طلق امراة له وهي حائض تطليقة بمعنى حديث مالك ‏.‏,The aforesaid tradition has also been transmitted by Nafi’ through a different chain of narrators. This version says Ibn ‘Umar divorced a wife of his while she was menstruating pronouncing one divorce. He then narrated the rest of the tradition similar to the one narrated by Malik,en,"Unlicense (aggregator); translator=Unknown; original translator copyright not independently confirmed, see PLAN.md"
hadith:abudawud:35,hadith,"حدثنا ابراهيم بن موسى الرازي، اخبرنا عيسى بن يونس، عن ثور، عن الحصين الحبراني، عن ابي سعيد، عن ابي هريرة، عن النبي صلى الله عليه وسلم قال ‏ ""‏ من اكتحل فليوتر من فعل فقد احسن ومن لا فلا حرج ومن استجمر فليوتر من فعل فقد احسن ومن لا فلا حرج ومن اكل فما تخلل فليلفظ وما لاك بلسانه فليبتلع من فعل فقد احسن ومن لا فلا حرج ومن اتى الغائط فليستتر فان لم يجد الا ان يجمع كثيبا من رمل فليستدبره فان الشيطان يلعب بمقاعد بني ادم من فعل فقد احسن ومن لا فلا حرج ‏""‏ ‏.‏ قال ابو داود رواه ابو عاصم عن ثور قال حصين الحميري ورواه عبد الملك بن الصباح عن ثور فقال ابو سعيد الخير ‏.‏ قال ابو داود ابو سعيد الخير هو من اصحاب النبي صلى الله عليه وسلم ‏.‏","Narrated AbuHurayrah: The Prophet (ﷺ) said: If anyone applies collyrium, he should do it an odd number of times. If he does so, he has done well; but if not, there is no harm. If anyone cleanses himself with pebbles, he should use an odd number. If he does so, he has done well; but if not, there is no harm. If anyone eats, he should throw away what he removes with a toothpick and swallow what sticks to his tongue. If he does so, he has done well; if not, there is no harm. If anyone goes to relieve himself, he should conceal himself, and if all he can do is to collect a heap of send, he should sit with his back to it, for the devil makes sport with the posteriors of the children of Adam. If he does so, he has done well; but if not, there is no harm",en,"Unlicense (aggregator); translator=Unknown; original translator copyright not independently confirmed, see PLAN.md"
hadith:bukhari:1877,hadith,"حدثنا حسين بن حريث، اخبرنا الفضل، عن جعيد، عن عائشة، قالت سمعت سعدا  رضى الله عنه  قال سمعت النبي صلى الله عليه وسلم يقول ‏ ""‏ لا يكيد اهل المدينة احد الا انماع كما ينماع الملح في الماء ‏""‏‏.‏","Narrated Sa`d:I heard the Prophet (ﷺ) saying, ""None plots against the people of Medina but that he will be dissolved (destroyed) like the salt is dissolved in water",en,"Unlicense (aggregator); translator=Muhsin Khan; original translator copyright not independently confirmed, see PLAN.md"
